model,fold,method,deletion_auc,insertion_auc,source
efficientnet_b4,fold_2,integrated_gradients,0.4447165634925865,0.48178597997874023,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\efficientnet_b4\faithfulness_metrics.csv
efficientnet_b4,fold_2,occlusion,0.45515423775928987,0.6247208536807448,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\efficientnet_b4\faithfulness_metrics.csv
resnet50,fold_2,gradcam,0.539560139889419,0.7010263149091043,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\resnet50\faithfulness_metrics.csv
resnet50,fold_2,gradcam++,0.5359580904861553,0.7092662339144542,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\resnet50\faithfulness_metrics.csv
resnet50,fold_2,gradient_shap,0.5005804517526801,0.7020889429106998,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\resnet50\faithfulness_metrics.csv
resnet50,fold_2,guided_backprop,0.5247409305972979,0.6975226369117542,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\resnet50\faithfulness_metrics.csv
resnet50,fold_2,integrated_gradients,0.5121898737143105,0.6935685248417625,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\resnet50\faithfulness_metrics.csv
resnet50,fold_2,occlusion,0.5105055788299069,0.6351343904246266,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\resnet50\faithfulness_metrics.csv
vit_small,fold_2,attention_rollout,0.5863841410987273,0.7730669352516222,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\vit_small\faithfulness_metrics.csv
vit_small,fold_2,gradcam,0.6757576108866682,0.7031686135393878,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_2\vit_small\faithfulness_metrics.csv
