model,sample_idx,feature_autocorrelation,feature_total_variation,feature_entropy_norm,feature_coherence_score,feature_fragmentation_score
resnet50,128,0.5402291269034322,0.5116166185690225,0.7029650125835655,0.35738501433970876,0.3596485827103341
resnet50,129,0.5903546889835531,0.533992956296704,0.7573515250890034,0.3848483701051409,0.40442037983809426
resnet50,130,0.561375332780452,0.5334800256351201,0.749260303793261,0.3660793250619275,0.3997154060750068
resnet50,131,0.6374504422134727,0.532579231037013,0.7692039393370813,0.4159331076032817,0.40966204252278393
resnet50,132,0.6418332777816109,0.6048981683235095,0.8485822960376744,0.39992149685862965,0.5133058765449474
resnet50,133,0.6296916381800616,0.5499269060082219,0.7975183108076931,0.4062718285224228,0.43857677714737814
resnet50,134,0.7365569308826427,0.5367055439781047,0.7825429653365588,0.47930908674663913,0.4199951478971969
resnet50,135,0.6099001145232592,0.6307029450716023,0.8439810809465992,0.37401055561132823,0.5323013533377344
resnet50,136,0.6510656962185096,0.5518586539819758,0.7861319206799174,0.4195393018223111,0.43383370359868456
resnet50,137,0.6840573398935822,0.5340946487871038,0.7560893627508927,0.44590295679240927,0.40382328265010314
resnet50,138,0.572727604712725,0.6525638603067192,0.8142874535683448,0.3465691211511945,0.5313745640998874
resnet50,139,0.5783952076102022,0.5264704349000656,0.7077458624919499,0.37891019333634746,0.37260727202485894
resnet50,140,0.6790423474685927,0.5074528651667042,0.706904258710593,0.4504567692692001,0.35872059148123553
resnet50,141,0.6116864793486043,0.5293415301912914,0.734447220075484,0.3999672194033036,0.38877341531949683
resnet50,142,0.5366645848110744,0.5187204326533532,0.7418197752150506,0.35336627681598304,0.3847970747503643
resnet50,143,0.68412471510444,0.5139093834935516,0.777591224543429,0.4518927767828014,0.39961142681510947
resnet50,144,0.5053498049077566,0.6228557167363743,0.8464091809615938,0.3113953999090164,0.527190797060081
resnet50,145,0.5596535175159832,0.6339698213775234,0.7894332200400364,0.34251153858164013,0.500476837498265
resnet50,146,0.6271587716991811,0.6260978904676379,0.8582655731379933,0.38568328227694887,0.5373582648026958
resnet50,147,0.4121655868752654,0.7709211869479442,0.8398818703326087,0.2327407848034182,0.6474827283728741
resnet50,148,0.604280937087862,0.68600824347054,0.8335818609950942,0.3584092423201849,0.5718440282501485
resnet50,149,0.525365300963244,0.6392383332010833,0.821486973164214,0.3204935428378602,0.5251259634718952
resnet50,150,0.6213894261417571,0.5443412151199416,0.7617734658910281,0.4023653711097108,0.41466469406925166
resnet50,151,0.6625785846522202,0.5698280768998918,0.7715336138205315,0.422070795141265,0.43964151542697727
resnet50,152,0.6791463792937085,0.5471791393975778,0.7559379822610172,0.43895781813484536,0.4136334945715248
resnet50,153,0.61500034773568,0.4907632850089763,0.7146130531220848,0.41254057831990204,0.35070584946048844
resnet50,154,0.6704271050533196,0.5361575242710396,0.7560388939724585,0.43643122170785226,0.4053559416448883
resnet50,155,0.6676634309900255,0.4888196103570615,0.7249282207241604,0.44845152921508113,0.35435913039122197
resnet50,156,0.5655109948285072,0.5802475375938014,0.768881710258118,0.35786228510097534,0.4461417190781837
resnet50,157,0.578727094600587,0.5767367518295649,0.8138818032043651,0.3670410383528269,0.4693955475532747
resnet50,158,0.5677818250118338,0.6486504966895709,0.8398209366817257,0.34439186847177056,0.544750267708902
resnet50,159,0.6184170020622759,0.6359769567098978,0.8608003600399622,0.3780108268187164,0.5474491933129995
resnet50,160,0.6080840352153667,0.5577468636589362,0.7743883249078016,0.39036126433730045,0.43191265947142365
resnet50,161,0.5821719431384275,0.5683692698256748,0.7661993171708904,0.37119570903294746,0.4354841464413496
resnet50,162,0.5952699710425035,0.5740235783107459,0.750808640703535,0.37818364301845575,0.4309818625632703
resnet50,163,0.7235479270225391,0.589707916740798,0.8067557369390426,0.4551451995697104,0.4757502449490101
resnet50,164,0.38711179034840126,0.593384764361881,0.7766589836437331,0.2429493484603713,0.46085760799897457
resnet50,165,0.5079917373037066,0.6192954939796583,0.8038181758189376,0.3137115734542321,0.4978009742636168
resnet50,166,0.5989251849279291,0.6453601241830754,0.841229721365461,0.36400856938556025,0.5428961174469079
resnet50,167,0.6288612528938861,0.5958627389306567,0.802030759969068,0.39405723158576195,0.4779002453418049
resnet50,168,0.5259440418966798,0.6265761889058474,0.7687290157552775,0.3233442401800236,0.4816672969932849
